tau (s) - HBT Measurement	g^(2)(tau) - HBT Measurement	tau (s) - none Fit	g^(2)(tau) - none Fit	
-13,9243n	707,29m	-13,9243n	1	
-13,7624n	976,734m	-13,7624n	1	
-13,6005n	1,14514	-13,6005n	1	
-13,4386n	1,2125	-13,4386n	1	
-13,2767n	1,11146	-13,2767n	1	
-13,1148n	639,929m	-13,1148n	1	
-12,9528n	1,44826	-12,9528n	1	
-12,7909n	909,373m	-12,7909n	1	
-12,629n	1,14514	-12,629n	1	
-12,4671n	1,2125	-12,4671n	1	
-12,3052n	976,734m	-12,3052n	1	
-12,1433n	1,01041	-12,1433n	1	
-11,9814n	740,971m	-11,9814n	1	
-11,8195n	774,651m	-11,8195n	1	
-11,6576n	1,2125	-11,6576n	1	
-11,4956n	1,2125	-11,4956n	1	
-11,3337n	1,34722	-11,3337n	1	
-11,1718n	1,2125	-11,1718n	1	
-11,0099n	943,054m	-11,0099n	1	
-10,848n	1,31354	-10,848n	1	
-10,6861n	1,44826	-10,6861n	1	
-10,5242n	774,651m	-10,5242n	1	
-10,3623n	1,2125	-10,3623n	1	
-10,2004n	1,0441	-10,2004n	1	
-10,0385n	976,734m	-10,0385n	1	
-9,87654n	976,734m	-9,87654n	1	
-9,71463n	1,41458	-9,71463n	1	
-9,55272n	1,0441	-9,55272n	1	
-9,39081n	875,693m	-9,39081n	1	
-9,2289n	1,0441	-9,2289n	1	
-9,06699n	976,734m	-9,06699n	1	
-8,90508n	1,14514	-8,90508n	1	
-8,74317n	1,24618	-8,74317n	1	
-8,58126n	1,07778	-8,58126n	1	
-8,41935n	1,01041	-8,41935n	1	
-8,25744n	740,971m	-8,25744n	1	
-8,09553n	606,249m	-8,09553n	1	
-7,93362n	976,734m	-7,93362n	1	
-7,77171n	976,734m	-7,77171n	1	
-7,6098n	1,24618	-7,6098n	1	
-7,44789n	1,11146	-7,44789n	1	
-7,28597n	909,373m	-7,28597n	1	
-7,12406n	875,693m	-7,12406n	1	
-6,96215n	707,29m	-6,96215n	1	
-6,80024n	1,07778	-6,80024n	1	
-6,63833n	842,012m	-6,63833n	1	
-6,47642n	1,14514	-6,47642n	1	
-6,31451n	1,07778	-6,31451n	1	
-6,1526n	1,01041	-6,1526n	1	
-5,99069n	1,14514	-5,99069n	1	
-5,82878n	976,734m	-5,82878n	1	
-5,66687n	740,971m	-5,66687n	1	
-5,50496n	943,054m	-5,50496n	1	
-5,34305n	1,11146	-5,34305n	1	
-5,18114n	875,693m	-5,18114n	1	
-5,01923n	1,0441	-5,01923n	1	
-4,85732n	1,24618	-4,85732n	1	
-4,69541n	740,971m	-4,69541n	1	
-4,5335n	909,373m	-4,5335n	1	
-4,37158n	1,2125	-4,37158n	1	
-4,20967n	1,0441	-4,20967n	1	
-4,04776n	1,24618	-4,04776n	1	
-3,88585n	1,17882	-3,88585n	1	
-3,72394n	976,734m	-3,72394n	1	
-3,56203n	1,2125	-3,56203n	1	
-3,40012n	1,11146	-3,40012n	1	
-3,23821n	875,693m	-3,23821n	1	
-3,0763n	1,11146	-3,0763n	1	
-2,91439n	1,17882	-2,91439n	1	
-2,75248n	1,07778	-2,75248n	1	
-2,59057n	673,61m	-2,59057n	1	
-2,42866n	808,332m	-2,42866n	1	
-2,26675n	673,61m	-2,26675n	1	
-2,10484n	1,0441	-2,10484n	1	
-1,94293n	976,734m	-1,94293n	1	
-1,78102n	1,34722	-1,78102n	1	
-1,61911n	774,651m	-1,61911n	1	
-1,45719n	976,734m	-1,45719n	1	
-1,29528n	1,07778	-1,29528n	1	
-1,13337n	1,2125	-1,13337n	1	
-971,463p	1,17882	-971,463p	1	
-809,553p	808,332m	-809,553p	1	
-647,642p	740,971m	-647,642p	1	
-485,732p	875,693m	-485,732p	1	
-323,821p	976,734m	-323,821p	1	
-161,911p	1,11146	-161,911p	1	
0	1,27986	0	1	
161,911p	1,14514	161,911p	1	
323,821p	875,693m	323,821p	1	
485,732p	1,3809	485,732p	1	
647,642p	1,44826	647,642p	1	
809,553p	1,31354	809,553p	1	
971,463p	1,17882	971,463p	1	
1,13337n	1,01041	1,13337n	1	
1,29528n	1,2125	1,29528n	1	
1,45719n	875,693m	1,45719n	1	
1,61911n	1,01041	1,61911n	1	
1,78102n	875,693m	1,78102n	1	
1,94293n	1,17882	1,94293n	1	
2,10484n	1,44826	2,10484n	1	
2,26675n	1,17882	2,26675n	1	
2,42866n	1,3809	2,42866n	1	
2,59057n	1,3809	2,59057n	1	
